Date;Time;Vlna;Vlnb;Vlnc;Vllavg;;kWa;;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;07;2018;17:40:00.000;8025.988281;8054.350098;8160.351074;13994.137695;2555.295654;2166.188721;2714.826416;611.216431;403.283325;651.573914;329.498352;275.194031;344.375122;7436.311035
01;07;2018;17:50:00.000;8038.908691;8059.805664;8171.514648;14011.281250;2511.605713;2145.213135;2672.371094;608.861816;425.546509;653.961243;323.487122;272.833038;338.785950;7329.189941
01;07;2018;18:00:00.000;8064.185547;8097.012695;8198.368164;14062.900391;2498.135010;2092.584473;2618.675049;640.240051;422.074341;663.930359;321.711151;265.101685;331.576508;7209.394531
01;07;2018;18:10:00.000;8091.200684;8124.028320;8223.645508;14108.747070;2472.031738;2069.237305;2607.349121;643.416382;428.343414;682.209961;317.542816;261.456665;329.618042;7148.618164
01;07;2018;18:20:00.000;8089.450684;8122.673828;8222.461914;14106.354492;2446.901123;2061.011230;2568.431885;652.457947;438.652557;679.904419;314.733246;260.644531;324.861420;7076.343750
01;07;2018;18:30:00.000;7817.049805;7858.818359;7959.663086;13645.100586;2330.201904;1934.510376;2417.439453;536.672729;349.328400;559.155762;307.361877;251.302765;313.235291;6682.151855
01;07;2018;18:40:00.000;7852.497559;7896.153320;7990.637207;13705.073242;2298.294678;1934.714478;2378.031006;543.403687;369.929657;565.798828;302.146240;250.512222;307.340027;6611.040039
01;07;2018;18:50:00.000;7860.760254;7911.620605;7999.588867;13723.987305;2267.925049;1891.672607;2349.126709;556.484009;360.570221;574.601074;298.347565;244.397705;303.612335;6508.724121
01;07;2018;19:00:00.000;7884.083984;7932.242188;8018.227539;13760.186523;2190.709717;1840.711548;2288.094482;548.972900;356.044006;579.684814;287.673584;237.276413;295.571320;6319.515625
01;07;2018;19:10:00.000;7891.623047;7940.520508;8028.710938;13775.409180;2168.039063;1798.669678;2265.970703;554.452454;355.969269;573.228882;284.673218;231.773758;292.231781;6232.679199
01;07;2018;19:20:00.000;7913.280762;7960.160156;8049.932129;13811.552734;2168.034180;1796.220947;2205.862793;561.422485;372.590179;574.096313;284.028961;231.246323;284.210938;6170.118164
01;07;2018;19:30:00.000;7890.876465;7943.953613;8028.481445;13776.894531;2133.666504;1762.527100;2172.620605;560.374512;363.392944;572.283752;280.526672;227.317993;280.861145;6068.813965
01;07;2018;19:40:00.000;7896.426270;7947.128906;8027.867676;13781.617188;2066.795898;1761.166382;2168.310059;548.801025;364.593475;587.093750;271.763062;227.033813;280.792145;5996.272461
01;07;2018;19:50:00.000;7911.979492;7963.864746;8045.038574;13810.208008;2034.422729;1718.414917;2137.746094;561.001709;364.785492;584.330566;267.599731;221.265076;276.348328;5890.583496
01;07;2018;20:00:00.000;7918.339844;7968.389160;8047.912109;13818.172852;1994.421021;1694.159668;2085.108398;549.447205;366.227112;572.593811;262.141571;218.191895;269.566986;5773.688965
01;07;2018;20:10:00.000;7931.900879;7980.813477;8065.647949;13843.438477;2006.485718;1692.760620;2061.311035;569.483521;370.306335;574.030273;263.778412;217.745667;266.122833;5760.557617
